5.94	56.4333
5.28	22.5167
3.69	-25.0667
0.6	-123.517
0.26	-137.2
0	-143.45
-0.3	-153.4
-2.11	-255.75
-4.01	-366.133
-5.89	-501
-6.16	-515.517
-8.02	-661.25
-10.1	-810.35
-12.32	-870.067
-13.51	-905.833
-13.81	-907.767
-14.44	-881
-14.71	-844.2
-13.67	-651.617
-10.84	-346.55
-8.43	-156.267
-6.04	-27.3833
-3.81	35.15
-2.03	73.2667
-1	97.9667
-0.68	109.55
-0.36	114.933
-0.09	130.917
0.42	140.783
1.08	161.417
2.63	230.583
3.85	289.767
4.17	308.883
5.91	407.617
8.04	548.667
10.05	673.1
12.09	807.117
13.95	890.533
14.26	892.383
14.51	834.283
14.07	773.133
13.86	746.4
12.18	540.6
10.97	414.567
9.1	257.7
7.14	119.467
5.96	62.15
3.02	-29.8167
1.51	-49.6
0.33	-78.2333
0.05	-80.5667
-0.32	-77.5833
-0.52	-95.2333
-2.35	-137.1
-4.29	-212.583
-6.06	-291.167
-8.13	-392.183
-10.15	-535.233
-12.01	-670.683
-13.89	-807.45
-14.16	-819.583
-14.44	-831.267
-14.54	-796.033
-13.35	-593.05
-11.49	-384.65
-9.47	-222.25
-7.72	-112.2
-5.75	-30.1333
-3.95	14.5833
-1.61	56.5167
-1.26	58.4833
-1	65.3333
-0.6	72.4
-0.41	74.75
-0.06	81.6333
0.17	84.2333
0.46	92.8
0.78	91.7333
0.99	104.983
3.04	165.183
5.21	260.467
7.37	373.55
9.09	485.483
11.66	670.4
13.48	803.067
15.22	897.9
17.08	936.083
17.37	944.717
17.68	946.467
17.92	947.983
18.21	928.767
18.22	915.35
18.44	898.633
18.44	898.85
18.44	886.083
18.44	863.167
17.54	738.2
15.79	534.5
13.92	349.15
11.8	186.317
9.3	51.4833
8.22	10.35
7.07	3.11667
6.06	-33.8333
4.77	-45.1167
3.84	-59.0333
2.61	-69.9333
1.7	-87
0.82	-109.1
-0.06	-128.967
-1.24	-154.333
-2.04	-181.85
-5.97	-323.35
-7.05	-380.067
-9.02	-486.583
-10.08	-545.033
-10.92	-597.117
-11.15	-604.883
-12	-659.1
-13.04	-730.2
-15.1	-829
-16.55	-861.883
-17.99	-876.933
-18.29	-880.3
-18.54	-886.883
-18.63	-856.6
-18.88	-821.8
-18.88	-823.183
-18.87	-804.017
-18.86	-786.367
-18.75	-776.65
-17.14	-569.017
-15.94	-435.25
-13.44	-232.533
-11.94	-137.117
-9.89	-46.5333
-7.91	2.18333
-5.91	33.5
-2.98	59.6
-0.02	103.15
0.27	97.5333
2.35	148.8
4.34	198.383
6.17	258.167
8.2	344.167
10.18	434.55
12.07	534.767
14.28	656.217
16.02	746.967
17.85	856.967
18.12	872.867
18.47	857.467
18.46	835.783
18.36	836.75
18.43	826.167
18.43	825.167
18.43	802.8
16.64	586.533
14.82	404.133
12.92	251.233
10.93	121.767
8.76	39.5667
6.71	1.53333
3.62	-34.0833
1.17	-57.4833
0.88	-62.65
0.5	-61.4167
0.21	-61.65
-0.02	-69.55
-0.32	-77.2667
-2.39	-100.683
-4.47	-133.85
-6.17	-180.417
-8.13	-235.367
-10.19	-313.167
-12.14	-406.483
-14.17	-514.383
-16.15	-651.267
-17.98	-766.183
-18.15	-778.667
-18.41	-789.167
-18.46	-757.333
-18.53	-741.467
-18	-642.233
-17.43	-576.15
-16.85	-508.133
-16.08	-419.317
-15.45	-361.083
-14.89	-320.383
-14.04	-254.183
-13.05	-190.883
-11.91	-134.883
-10.98	-85.2667
-9.94	-48.7
-8.93	-26.4333
-7.86	-10.2167
-7.08	-3.38333
-6.16	8.76667
-4.87	28.55
-3.76	31.2
-1.75	55.3667
-0.76	57.25
0	66.7167
1.59	89.4833
2.53	112.533
3.58	128.633
4.46	141.55
5.45	162.65
6.63	199.15
7.49	223.5
9.14	285.65
11.02	376.9
13.19	490.6
14.82	597.033
15.01	603.883
16.45	698.133
18.25	815.05
